ra,dec,id,name,mag,bv
38.96875,5.593333, 754, 78Nu  Cet,4.86,0.87
39.238333,38.732778, 756,HR 756,5.9,0.48
39.260417,34.263889, 758,HR 758,5.3,1.55
39.0,-7.831667, 759, 80    Cet,5.53,1.59
39.157917,12.4475, 763, 31    Ari,5.68,0.49
39.14625,7.729722, 766,HR 766,5.81,1.04
39.03875,-30.044722, 767,   Iot1For,5.75,1.02
39.424167,-3.396111, 771, 81    Cet,5.65,1.02
39.244167,-34.578333, 772,   Lam2For,5.79,0.66
39.704167,21.961389, 773, 32Nu  Ari,5.43,0.16
41.948333,81.448333, 774,HR 774,5.78,1.3
37.91875,-79.109444, 776,   Mu  Hyi,5.28,0.98
39.577917,-30.194167, 777,   Iot2For,5.83,0.48
39.351667,-52.543056, 778,   Eta Hor,5.31,0.27
39.870833,0.328611, 779, 82Del Cet,4.07,-0.22
39.890833,-11.872222, 781, 83Eps Cet,4.84,0.45
40.17125,27.060833, 782, 33    Ari,5.3,0.09
40.05125,-9.453056, 784,HR 784,5.78,0.52
40.761667,55.105833, 785, 11    Per,5.77,-0.13
40.74875,53.526111, 787,HR 787,5.84,1.12
40.562083,40.193889, 788, 12    Per,4.91,0.59
39.95,-42.891667, 789,HR 789,4.75,0.06
40.307917,-0.695833, 790, 84    Cet,5.71,0.52
41.207083,67.824722, 791,HR 791,5.95,0.1
40.591667,20.011667, 793, 34Mu  Ari,5.69,-0.02
40.166667,-39.855556, 794,   Iot Eri,4.11,1.02
40.391667,-14.549444, 796,HR 796,5.98,0.43
41.05,49.228333, 799, 13The Per,4.12,0.49
41.021667,44.296944, 800, 14    Per,5.43,0.9
40.862917,27.707222, 801, 35    Ari,4.66,-0.13
40.165,-54.55, 802,   Zet Hor,5.21,0.4
40.825,3.235833, 804, 86Gam Cet,3.47,0.09
39.8975,-68.266944, 806,   Eps Hyi,4.11,-0.06
41.137083,15.311667, 809, 37Omi Ari,5.77,-0.01
40.639583,-50.800278, 810,   Iot Hor,5.41,0.56
41.030833,-13.858611, 811, 89Pi  Cet,4.25,-0.14
41.24,12.445833, 812, 38    Ari,5.18,0.24
41.235417,10.114167, 813, 87Mu  Cet,4.27,0.31
41.275833,-18.5725, 818,  1Tau1Eri,4.47,0.48
41.977083,29.247222, 824, 39    Ari,4.51,1.11
42.13375,18.283611, 828, 40    Ari,5.82,1.2
42.994583,68.888611, 829,HR 829,5.8,0.64
42.19125,25.188056, 830,HR 830,5.86,-0.07
41.364583,-63.704444, 833,   Gam Hor,5.74,0.93
42.674167,55.895556, 834, 15Eta Per,3.76,1.68
42.322917,17.464167, 836, 42Pi  Ari,5.22,-0.06
41.385833,-67.616667, 837,   Zet Hyi,4.84,0.06
42.495833,27.260556, 838, 41    Ari,3.63,-0.1
42.64625,38.318611, 840, 16    Per,4.23,0.34
42.2725,-32.405833, 841,   Bet For,4.46,0.99
42.92375,46.841944, 842,HR 842,5.88,0.89
42.878333,35.059722, 843, 17    Per,4.53,1.56
42.475833,-27.941667, 845,   Gam2For,5.39,0.02
42.873333,15.081944, 847, 43Sig Ari,5.49,-0.09
42.561667,-35.843611, 848,   Eta2For,5.92,0.9
42.759583,-21.004167, 850,  2Tau2Eri,4.75,0.91
42.668333,-35.676111, 851,   Eta3For,5.47,1.25
42.25625,-62.806667, 852,   Nu  Hor,5.26,0.1
